keyword,title,link,summary,date
재건축 완화,'쪼개기'에 발목 잡힌 재건축…상가 동의율 낮추면 빨라질까,https://news.tf.co.kr/read/economy/2189127.htm,또 동별(복리시설 포함) 소유자의 2분의 1 이상 동의를 받던 것을 복리시설(상가)에 대해서는 소유자의 3분의 1 이상으로완화된다. 현행법상 상가 전체를 하나의 동으로 본다. 이에 따라 업계에서는 조합설립 기간이 대폭 줄어들 것으로 기대하고 있다. 그동안재건축사업에서 주택 입주권을 획득하거나 상가...,
재건축 완화,오류동 소규모 재건축 현장 찾은 오세훈,https://www.news1.kr/photos/7183603,오세훈 서울시장이 17일 서울 구로구 오류동 소규모재건축현장을 둘러보고 있다. 서울시는 올해 5월부터 소규모 건축물의 용적률을 한시적으로완화하는 '규제철폐안 33호'를 적용할 방침이다. 첫 번째 적용 대상지는 서울 구로구 오류동 소규모재건축현장(화랑주택)이다. 이를 통해 서울시는 향후...,
재건축 완화,"오세훈, '소규모건축 용적률 한시완화' 첫 적용 오류동 재건축 현장 방문",http://www.lawissue.co.kr/view.php?ud=202503171631084438b3279dfb36_12,"오세훈 서울시장이 17일 소규모 건축물 용적률을 한시적으로완화하는 규제철폐안이 처음 적용되는 구로구 오류동 화랑주택재건축현장을 방문했다. 앞서 서울시는 지난 달 25일 제2·3종 일반주거지역의 소규모 건축물 용적률을 2종 200→250%, 3종 250→300%로 3년 동안완화하는 규제철폐안 33호를 발표한 바...",
재건축 완화,"민주 ""유산취득세는 부자 감세…집수리 하려는데 재건축 발표한 꼴""",https://www.newsis.com/view/NISX20250312_0003096520,"그는 ""지금 현장에서는 상속세 때문에 살던 집을 팔아야 하는 중산층들이 있다""며 ""정부는 중산층 세 부담완화를 위한 민주당의 배우자공제 10억원... 비유하자면 여당은 집수리를 하려고 하는 데 정부가 불쑥재건축계획을 발표한 꼴""이라고 주장했다. 안 의원은 ""정부여당 간에 서로 양립할 수 없는 대안을 두고...",
재건축 완화,"준주거지역, 아파트로 100% 지어도 OK…재건축 사업성 높인다[집슐랭]",https://www.sedaily.com/NewsView/2GQ8A0SPVI,"서울시는 비주거 기준완화로재건축·재개발 사업성이 높아질 것으로 전망하고 있다. 서울시는 13일 도시·건축공동위원회 결과 준주거·상업지역 비주거 기준 폐지, 용적률 체계 개편 등 제도 변화 반영을 위한 '도시관리계획 결정변경안'을 수정 가결했다고 밝혔다. 이는 오세훈 서울시장이 지난 1월 건설...",
재건축 완화,곳곳에서 갭투기… 강남서 토지거래허가제 완화하자 벌어진 일,https://www.thescoop.co.kr/news/articleView.html?idxno=305260,"서울시가 토지거래허가제를완화한 후 강남 3구를 중심으로 갭투기로 의심할 만한 거래가 가파르게 늘었다는 얘기다. ■ 토지거래허가 영향 분석 = 당초 서울에선 ▲대치ㆍ삼성ㆍ청담ㆍ잠실 등 국제교류복합지구 일대, ▲압구정ㆍ여의도ㆍ목동ㆍ성수 등 주요재건축단지...",
재건축 완화,"대우효령아파트, 예비안전진단 통과… 재건축 대열 합류",http://www.arunews.com/news/articleView.html?idxno=48018,"이 위원장은 ""올해부터 여러재건축 완화방안이 시행되는 만큼 최적의 진행방향을 검토해 추진해 나갈 것""이라며 ""가능하면 추진위원회 구성을 먼저 마친 뒤 정비계획 수립, 구역 지정 등 입안제안과 재건축진단을 동시에 준비하는 투트랙 전략도 검토 중이다""고 밝혔다 대우효령은 지하철2호선 방배역...",
재건축 완화,“재건축과 역차별”…재개발사업 무산ㆍ장기 지연 일쑤,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202503181403248110552,"이후 2017년 법이 개정되면서 동의율이 모두 75% 이상으로 낮춰졌다가 지난 1월 법이 다시 개정되면서재건축만 70%로완화됐다. 재개발 사업이재건축보다 주택 공급을 원활하게 하는 가구 멸실 효과가 적고 사회 기반시설 개선이라는 공익적 효과가 더 큰데도, 재개발 조합 설립 동의 요건을그대로 둔 것은...",
재건축 완화,"중랑구, 망우1구역 공공재건축 정비계획변경(안) 고시",http://www.breaknews.com/1102825,"중랑구(구청장 류경기)가 추진하는 망우1구역 공공재건축정비계획변경(안)이 지난 20일 최종 확정·고시됐다.... 또한, 사업성 보정계수 2.0을 적용받아 기존 정비계획 대비 사업성이 크게 개선되면서 조합원의 재정적 부담이완화...",
재건축 완화,[주택공급 시스템 이대로 괜찮나]<1>재건축 선도지구ㆍ3기 신도시 등 속도내야,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202503251045394260488,"업계 “규제완화ㆍ금융지원 등 시장 정상화방안 시급” “부동산시장 위축기에는 공공부문에서 더 적극적으로 나서야 원활한 주택공급과 함께... 정부의 공급확대 방안은 1기 신도시재건축선도지구 지정, 서울 서리풀 등 그리벨트 해제, 도심 내 공급확대를 위한재건축ㆍ재개발사업 규제개선, 3기 신도시 등...",
